uniqueid,bonus,workerid,incorrectC1,incorrectC2
5dd5bc3bd5cef8000b9861d5:TSS_DDL_092921,0.0,5dd5bc3bd5cef8000b9861d5,,
5dea76e109c1071948aed0ff:TSS_DDL_092921,0.0,5dea76e109c1071948aed0ff,0.0,0.0
5d4ac837d2844e0001ecf699:TSS_DDL_092921,0.0,5d4ac837d2844e0001ecf699,0.0,0.0
55d35447da14d7000e95318f:TSS_DDL_092921,0.0,55d35447da14d7000e95318f,,
61585be9a9a3151fa46e9433:TSS_DDL_092921,0.0,61585be9a9a3151fa46e9433,3.0,0.0
613fda883d650eff1765cd31:TSS_DDL_092921,0.0,613fda883d650eff1765cd31,0.0,0.0
610c0307782b54307339d806:TSS_DDL_092921,0.0,610c0307782b54307339d806,0.0,0.0
60fd462512ad2ae6071668f3:TSS_DDL_092921,0.0,60fd462512ad2ae6071668f3,0.0,0.0
61030ddc991c249c718415b4:TSS_DDL_092921,0.0,61030ddc991c249c718415b4,0.0,0.0
6123e8bbb34c6a786651e74b:TSS_DDL_092921,0.0,6123e8bbb34c6a786651e74b,,
5e027352b1f222dfd1e1fe4d:TSS_DDL_092921,0.0,5e027352b1f222dfd1e1fe4d,0.0,0.0
5b57d2acbc04d60001e5e76e:TSS_DDL_092921,0.0,5b57d2acbc04d60001e5e76e,0.0,0.0
60fbed5d2532f7768e7b5a29:TSS_DDL_092921,0.0,60fbed5d2532f7768e7b5a29,0.0,0.0
612517df29cd32c6632b4a44:TSS_DDL_092921,0.0,612517df29cd32c6632b4a44,0.0,0.0
5c82c9a4d8302a00010639b8:TSS_DDL_092921,0.0,5c82c9a4d8302a00010639b8,0.0,0.0
5e21e741f814784d3180f004:TSS_DDL_092921,0.0,5e21e741f814784d3180f004,0.0,0.0
5ff94e71c59814230b0fb713:TSS_DDL_092921,0.0,5ff94e71c59814230b0fb713,0.0,0.0
60aa6d8db045e2b649a4a08c:TSS_DDL_092921,0.0,60aa6d8db045e2b649a4a08c,0.0,0.0
5d34d17089232600011ade3a:TSS_DDL_092921,0.0,5d34d17089232600011ade3a,,
610d3c0535871d8bfa25107f:TSS_DDL_092921,0.0,610d3c0535871d8bfa25107f,0.0,0.0
