incorrectC1,incorrectC2,uniqueid,bonus,workerid
0.0,0.0,5bc9f8b677740000016a08b5:TSS_DDL_092921,0.0,5bc9f8b677740000016a08b5
0.0,0.0,615009a911243c691332e533:TSS_DDL_092921,0.0,615009a911243c691332e533
0.0,0.0,6100bb2660955ead768c8fcf:TSS_DDL_092921,0.0,6100bb2660955ead768c8fcf
0.0,0.0,588e8b95670d6600012bd8dc:TSS_DDL_092921,0.0,588e8b95670d6600012bd8dc
0.0,0.0,60b81f5f9e32d170d3ab805e:TSS_DDL_092921,0.0,60b81f5f9e32d170d3ab805e
0.0,0.0,5d7ff85ffec5620017b07c40:TSS_DDL_092921,0.0,5d7ff85ffec5620017b07c40
,,5cf2cf83fa50130001836b73:TSS_DDL_092921,0.0,5cf2cf83fa50130001836b73
0.0,0.0,5f406d28899a9b1a9ddd609a:TSS_DDL_092921,0.0,5f406d28899a9b1a9ddd609a
0.0,0.0,5baa535fa3c9170001156197:TSS_DDL_092921,0.0,5baa535fa3c9170001156197
0.0,0.0,5c0f1cf4f3027300014b606f:TSS_DDL_092921,0.0,5c0f1cf4f3027300014b606f
0.0,0.0,613747afa1b97f29cbae831b:TSS_DDL_092921,0.0,613747afa1b97f29cbae831b
0.0,0.0,5dcdef4dd30a0e0acb5b6fba:TSS_DDL_092921,0.0,5dcdef4dd30a0e0acb5b6fba
0.0,0.0,60bd784514215b77d2a0f4d8:TSS_DDL_092921,0.0,60bd784514215b77d2a0f4d8
0.0,0.0,612e774f539a45b2e8aad19e:TSS_DDL_092921,0.0,612e774f539a45b2e8aad19e
,,5a6d3a19e6cc4a0001b6c47a:TSS_DDL_092921,0.0,5a6d3a19e6cc4a0001b6c47a
0.0,0.0,5d36600685d1d50001affacb:TSS_DDL_092921,0.0,5d36600685d1d50001affacb
,,5cbf5b488be75a0016b49758:TSS_DDL_092921,0.0,5cbf5b488be75a0016b49758
0.0,0.0,61254fba095b9df425e816ea:TSS_DDL_092921,0.0,61254fba095b9df425e816ea
,,612dd59e404bfc247494df24:TSS_DDL_092921,0.0,612dd59e404bfc247494df24
0.0,0.0,5f496b791798ec4d6340620d:TSS_DDL_092921,0.0,5f496b791798ec4d6340620d
0.0,0.0,5d69678bf4d251001c0f81f3:TSS_DDL_092921,0.0,5d69678bf4d251001c0f81f3
0.0,0.0,611189c22603acc9bfc10e2d:TSS_DDL_092921,0.0,611189c22603acc9bfc10e2d
0.0,0.0,6111739b4db1a934aa0b1a6a:TSS_DDL_092921,0.0,6111739b4db1a934aa0b1a6a
0.0,0.0,6101930ddd5330f83b898c61:TSS_DDL_092921,0.0,6101930ddd5330f83b898c61
0.0,0.0,6159d4026fd4e22c9f1179c1:TSS_DDL_092921,0.0,6159d4026fd4e22c9f1179c1
,,616f315b5e74ca5b9a1d2ca7:TSS_DDL_092921,0.0,616f315b5e74ca5b9a1d2ca7
0.0,0.0,5974561734b844000168d1e0:TSS_DDL_092921,0.0,5974561734b844000168d1e0
0.0,0.0,5d743ec4869c8f0019b35907:TSS_DDL_092921,0.0,5d743ec4869c8f0019b35907
,,60f4e3ab507bbb123f866e88:TSS_DDL_092921,0.0,60f4e3ab507bbb123f866e88
0.0,0.0,5b0967ff1c95000001fcb6ce:TSS_DDL_092921,0.0,5b0967ff1c95000001fcb6ce
,,5d338bb02381b7001761694e:TSS_DDL_092921,0.0,5d338bb02381b7001761694e
0.0,0.0,61083c3043474227a8512bf7:TSS_DDL_092921,0.0,61083c3043474227a8512bf7
0.0,0.0,5928cbac80a86200013f3732:TSS_DDL_092921,0.0,5928cbac80a86200013f3732
0.0,0.0,6107992d2e980ec056f40ebb:TSS_DDL_092921,0.0,6107992d2e980ec056f40ebb
0.0,0.0,5feea1dceae5431a85b1fe1e:TSS_DDL_092921,0.0,5feea1dceae5431a85b1fe1e
0.0,0.0,60ceeec3a0bed4a1e603b8d7:TSS_DDL_092921,0.0,60ceeec3a0bed4a1e603b8d7
0.0,0.0,5e542a0c4b7e8c42fafa7216:TSS_DDL_092921,0.0,5e542a0c4b7e8c42fafa7216
0.0,0.0,60e5d47e17c05633eef565e3:TSS_DDL_092921,0.0,60e5d47e17c05633eef565e3
,,570521cfde5095001018a0c8:TSS_DDL_092921,0.0,570521cfde5095001018a0c8
0.0,0.0,60ff717eb1fc0105932e89df:TSS_DDL_092921,0.0,60ff717eb1fc0105932e89df
0.0,0.0,615f54a5141128cf81b7e857:TSS_DDL_092921,0.0,615f54a5141128cf81b7e857
0.0,0.0,610ef9a5cdec3fa83ceaf938:TSS_DDL_092921,0.0,610ef9a5cdec3fa83ceaf938
0.0,0.0,5de96ccf7aeafe09d7e8a74a:TSS_DDL_092921,0.0,5de96ccf7aeafe09d7e8a74a
