phase,uniqueid,distractor,target,type,response,hit,rt,trialNum,initrt,stimOn,stimOff,startTime,moneyEarned,sessionNum,blockNum,blockType,intervalNum,intervalType,intervalLength
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,RED,green,incongruent,green,1.0,1105.0,1.0,,1639176410652.0,1639176411757.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,YELLOW,yellow,congruent,yellow,1.0,558.0,2.0,,1639176412271.0,1639176412829.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,BLUE,red,incongruent,red,1.0,757.0,3.0,,1639176413344.0,1639176414101.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,RED,yellow,incongruent,yellow,1.0,533.0,4.0,,1639176414616.0,1639176415149.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,GREEN,green,congruent,green,1.0,487.0,5.0,,1639176415662.0,1639176416149.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,BLUE,red,incongruent,red,1.0,616.0,6.0,,1639176416662.0,1639176417278.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,GREEN,yellow,incongruent,yellow,1.0,539.0,7.0,,1639176417779.0,1639176418318.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,RED,red,congruent,red,1.0,587.0,8.0,,1639176418827.0,1639176419414.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,BLUE,blue,congruent,blue,1.0,544.0,9.0,,1639176419917.0,1639176420461.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
MainBlock,5b060d9e68eff50001d1a2c1:TSS_DDL_092921,GREEN,yellow,incongruent,yellow,1.0,575.0,10.0,,1639176420975.0,1639176421550.0,1639176410651.0,0.0,0.0,1.0,Mixed,1.0,Speed,11000.0
