incorrectC1,incorrectC2,uniqueid,bonus,workerid
0.0,0.0,61059401290dafe0b1b6f52f:TSS_RECONF_102122,0.0,61059401290dafe0b1b6f52f
0.0,0.0,5fc4231050130c35759881d3:TSS_RECONF_102122,0.0,5fc4231050130c35759881d3
0.0,0.0,62853cad232ad9273433f22e:TSS_RECONF_102122,0.0,62853cad232ad9273433f22e
1.0,0.0,631b66847990076d05887914:TSS_RECONF_102122,0.0,631b66847990076d05887914
0.0,0.0,62acafc833450e1feb7ba05b:TSS_RECONF_102122,0.0,62acafc833450e1feb7ba05b
0.0,0.0,6307bee7b345c1bf0fb2f362:TSS_RECONF_102122,0.0,6307bee7b345c1bf0fb2f362
0.0,0.0,62e7cd5e600a74445e229078:TSS_RECONF_102122,0.0,62e7cd5e600a74445e229078
0.0,0.0,632100c39d4c93aa71d32feb:TSS_RECONF_102122,0.0,632100c39d4c93aa71d32feb
0.0,0.0,5d5181fc842e8600171e5a78:TSS_RECONF_102122,0.0,5d5181fc842e8600171e5a78
0.0,0.0,60f8adb9a315f316c3aee425:TSS_RECONF_102122,0.0,60f8adb9a315f316c3aee425
0.0,0.0,62dd2f0668b37a65531fae67:TSS_RECONF_102122,0.0,62dd2f0668b37a65531fae67
0.0,0.0,59aba109d4ef6600011211c9:TSS_RECONF_102122,0.0,59aba109d4ef6600011211c9
1.0,0.0,6088c08b5db0d7af3daf4b69:TSS_RECONF_102122,0.0,6088c08b5db0d7af3daf4b69
0.0,0.0,5efef32a88bb6a01c8087591:TSS_RECONF_102122,0.0,5efef32a88bb6a01c8087591
0.0,0.0,633f13d17cdae412322eabd0:TSS_RECONF_102122,0.0,633f13d17cdae412322eabd0
0.0,0.0,631b593a9bb21bb86ea260a7:TSS_RECONF_102122,0.0,631b593a9bb21bb86ea260a7
0.0,0.0,62b07fada18474adc21fa4b1:TSS_RECONF_102122,0.0,62b07fada18474adc21fa4b1
0.0,0.0,5c93e410ec114b001641a170:TSS_RECONF_102122,0.0,5c93e410ec114b001641a170
0.0,0.0,5f9680c928b51354f0244d31:TSS_RECONF_102122,0.0,5f9680c928b51354f0244d31
,,57864d24900cc80001d2de56:TSS_RECONF_102122,0.0,57864d24900cc80001d2de56
0.0,0.0,594a969df0ea1b0001558178:TSS_RECONF_102122,0.0,594a969df0ea1b0001558178
0.0,0.0,61511b7499620085c08c171d:TSS_RECONF_102122,0.0,61511b7499620085c08c171d
0.0,0.0,5bb7b66f7c5d6f00015a5ea2:TSS_RECONF_102122,0.0,5bb7b66f7c5d6f00015a5ea2
0.0,0.0,631c8e97db06f601f81bd82f:TSS_RECONF_102122,0.0,631c8e97db06f601f81bd82f
0.0,0.0,628f827eeb876ed2617881e7:TSS_RECONF_102122,0.0,628f827eeb876ed2617881e7
0.0,0.0,60079f45348bb62bdcd363ff:TSS_RECONF_102122,0.0,60079f45348bb62bdcd363ff
0.0,0.0,6332274d72eff2df47171a78:TSS_RECONF_102122,0.0,6332274d72eff2df47171a78
0.0,0.0,5bf311373a5bf00001401f64:TSS_RECONF_102122,0.0,5bf311373a5bf00001401f64
0.0,0.0,6282486284f992485dcdf4ea:TSS_RECONF_102122,0.0,6282486284f992485dcdf4ea
0.0,0.0,632de9f6318fff97bef3f38e:TSS_RECONF_102122,0.0,632de9f6318fff97bef3f38e
,,6337cba5cbed8cb3514a6504:TSS_RECONF_102122,0.0,6337cba5cbed8cb3514a6504
,,5e470b9563f714033f4b7a7f:TSS_RECONF_102122,0.0,5e470b9563f714033f4b7a7f
0.0,0.0,6294ea611ee4f49421c6b905:TSS_RECONF_102122,0.0,6294ea611ee4f49421c6b905
0.0,0.0,5d4225e01985380018375d83:TSS_RECONF_102122,0.0,5d4225e01985380018375d83
